,STATION,LATITUDE,LONGITUDE
0,01234099999.csv,63.3166666,9.85
0,01237099999.csv,63.51666659999999,9.1166666
0,01238099999.csv,62.116666599999995,9.2833333
0,01239099999.csv,62.216666599999996,9.55
0,01240099999.csv,64.1666666,9.4
0,01241099999.csv,63.698907999999996,9.604003
0,01242099999.csv,63.966666599999996,10.2166666
0,01245099999.csv,62.6,9.6666666
0,01250099999.csv,62.1333333,10.0
0,01253099999.csv,62.95,10.183333300000001
0,01254099999.csv,62.9833333,10.55
0,01257099999.csv,63.4166666,10.45
0,01259099999.csv,64.4,10.45
0,01262099999.csv,64.8,10.55
0,01265099999.csv,62.26666659999999,10.733333300000002
0,01270099999.csv,63.4833333,10.883333300000002
0,01271099999.csv,63.457556000000004,10.939872
0,01272099999.csv,63.5666666,10.7
0,01273099999.csv,63.2333333,11.016666599999999
0,01277099999.csv,64.0166666,11.45
0,01278099999.csv,63.783333299999995,11.683333300000001
0,01281099999.csv,64.7333333,12.85
0,01282099999.csv,64.85,11.233333300000002
0,01287099999.csv,62.6833333,11.8166666
0,01288099999.csv,62.5666666,11.383333300000002
0,01290099999.csv,64.4666667,11.583333300000001
0,01291099999.csv,64.5333333,12.383333300000002
0,01293099999.csv,63.4166666,11.733333300000002
0,01300099999.csv,61.2,2.2666666
0,01300599999.csv,61.25,1.85
0,01304099999.csv,61.5666666,4.6833333
0,01307099999.csv,60.75,4.7166666
0,01308099999.csv,61.3,5.05
0,01310099999.csv,61.583611,5.024722
0,01311099999.csv,60.293386,5.218141999999999
0,01314099999.csv,60.51666659999999,5.7166666
0,01315099999.csv,60.6333333,6.1
0,01317099999.csv,60.3833333,5.3333333
0,01319099999.csv,61.033333299999995,5.383333299999999
0,01320099999.csv,61.8333333,6.116666700000001
0,01321099999.csv,61.9,6.55
0,01323099999.csv,61.392503000000005,5.764167
0,01326099999.csv,60.85,5.9833333
0,01327099999.csv,60.3833333,5.9666666
0,01329099999.csv,60.35,6.2666666
0,01332099999.csv,61.43,6.77
0,01336099999.csv,60.65,6.2166666
0,01337099999.csv,60.6333333,6.4333333
0,01338099999.csv,61.1666666,6.65
0,01340099999.csv,60.42,7.28
0,01342099999.csv,60.3166666,6.65
0,01344099999.csv,60.7,6.95
0,01345099999.csv,60.716666599999996,7.2166666
0,01346099999.csv,60.65,7.2666666
0,01347099999.csv,61.156110999999996,7.136614
0,01350099999.csv,60.6,7.5333333
0,01352099999.csv,60.1833333,7.4833333
0,01355099999.csv,61.1,7.5
0,01357099999.csv,60.866666599999995,8.516666599999999
0,01358099999.csv,60.85,8.6
0,01359099999.csv,60.533333299999995,8.2
0,01360099999.csv,61.9,7.9
0,01361099999.csv,62.01666659999999,7.6666666
0,01362099999.csv,61.6666666,8.3666666
0,01364099999.csv,61.1833333,8.1166666
0,01365099999.csv,61.2505556,8.9166666
0,01366099999.csv,61.5666666,8.0
0,01367099999.csv,60.9833333,9.2166666
0,01368099999.csv,61.015556000000004,9.288056
0,01370099999.csv,61.51666659999999,9.4
0,01371099999.csv,61.116666599999995,9.0666666
0,01373099999.csv,60.5666666,9.133333300000002
0,01374099999.csv,60.9333333,10.0333333
0,01375099999.csv,61.466666599999996,10.133333300000002
0,01375599999.csv,61.033333299999995,2.0333333
0,01376099999.csv,60.3833333,9.6
0,01378099999.csv,61.1,10.4666666
0,01380099999.csv,61.65,10.1166666
0,01381099999.csv,60.7,10.8666666
0,01382099999.csv,60.76666659999999,10.8
0,01383099999.csv,61.4,11.080277800000001
0,01384099999.csv,60.193917000000006,11.100361
0,01385099999.csv,60.8166666,11.0666666
0,01386099999.csv,60.8,11.1
0,01387099999.csv,61.45,10.183333300000001
0,01389099999.csv,61.1833333,11.3666666
0,01392099999.csv,60.616666599999995,12.016666599999999
0,01393099999.csv,61.8833333,12.0333333
0,01397099999.csv,61.3,12.266666599999999
0,01400099999.csv,56.55,3.2166666
0,01403099999.csv,59.3,4.866666599999999
0,01403399999.csv,56.55,3.25
0,01406099999.csv,59.9166666,5.0666666
0,01408099999.csv,59.34526700000001,5.2083639999999995
0,01411099999.csv,59.0666666,5.4166666
0,01412099999.csv,58.65,5.5666666
0,01413099999.csv,58.75,5.65
0,01414099999.csv,59.4333333,5.0666666
0,01415099999.csv,58.876667000000005,5.637778
0,01416099999.csv,58.95,5.7333333
0,01417099999.csv,59.4833333,5.75
0,01418099999.csv,60.01666659999999,5.2
0,01419099999.csv,59.05,6.116666599999999
0,01422099999.csv,59.1666666,6.0333333
0,01424099999.csv,59.65,6.366666599999999
0,01425099999.csv,58.51666659999999,6.5166666
0,01426099999.csv,58.4333333,5.866666599999999
0,01427099999.csv,58.116666599999995,6.5666666
0,01428199999.csv,59.1108,2.8458
0,01430099999.csv,58.01666659999999,7.45
0,01431099999.csv,58.9333333,6.9166666
0,01434099999.csv,59.76666659999999,7.366666599999999
0,01435099999.csv,59.8166666,7.2166666
0,01436099999.csv,57.9833333,7.05
0,01440099999.csv,59.3333333,6.866666599999999
0,01441099999.csv,59.5833333,7.383333299999999
0,01442099999.csv,58.6666666,7.8
0,01444099999.csv,59.2,7.5166666
0,01447099999.csv,59.5,8.2
0,01448099999.csv,58.0666666,8.05
0,01449099999.csv,58.866666599999995,9.0333333
0,01450099999.csv,59.8333333,8.1833333
0,01452099999.csv,58.204214,8.085369
0,01453099999.csv,58.6,8.4166666
0,01455099999.csv,59.033333299999995,8.516666599999999
0,01460099999.csv,59.4333333,10.583333300000001
0,01461199999.csv,59.85,8.65
0,01462099999.csv,59.0833333,9.6666666
0,01463099999.csv,59.65,10.766666599999999
0,01464099999.csv,58.3333333,8.516666599999999
0,01465099999.csv,58.4,8.7833333
